nohup: ignoring input
运行模式: train
项目目录: /root/autodl-tmp/MokioMind
日志文件: /root/autodl-tmp/MokioMind/logs/sft_train_20260905_125109.log
执行命令:
/root/autodl-tmp/MokioMind/.venv/bin/python3 /root/autodl-tmp/MokioMind/trainer/train_full_sft.py --data_path dataset/advertisegen/advertisegen_sft_train.jsonl --val_data_path dataset/advertisegen/advertisegen_sft_val.jsonl --from_weight pretrain --save_dir out --hidden_size 512 --num_hidden_layers 8 --max_seq_len 512 --epochs 1 --batch_size 8 --accumulation_steps 1 --learning_rate 1e-06 --dtype bfloat16 --num_workers 2 --smoke_max_new_tokens 128 --use_compile 0 --checkpoint_dir checkpoints/advertise_sft_ep1 --save_weight advertise_sft_ep1 --max_steps 0 --val_batches 0 --val_interval 0 --log_interval 50 --save_interval 500 --smoke_generate_samples 5
================================================================================
所加载Model可训练参数：25.830 百万
Epoch:[1/1] batch:2750/9819, optimizer_step:2750, loss:2.5187, grad_norm:2.5144, lr:0.00000084, elapsed:2.4min
Epoch:[1/1] batch:2800/9819, optimizer_step:2800, loss:2.5094, grad_norm:2.7728, lr:0.00000083, elapsed:2.5min
Epoch:[1/1] batch:2850/9819, optimizer_step:2850, loss:2.4859, grad_norm:2.6737, lr:0.00000083, elapsed:2.5min
Epoch:[1/1] batch:2900/9819, optimizer_step:2900, loss:2.1719, grad_norm:2.3424, lr:0.00000082, elapsed:2.5min
Epoch:[1/1] batch:2950/9819, optimizer_step:2950, loss:2.4823, grad_norm:2.5708, lr:0.00000081, elapsed:2.6min
Epoch:[1/1] batch:3000/9819, optimizer_step:3000, loss:2.4166, grad_norm:2.4108, lr:0.00000081, elapsed:2.6min
权重已保存: /root/autodl-tmp/MokioMind/out/advertise_sft_ep1_512.pth
Epoch:[1/1] batch:3050/9819, optimizer_step:3050, loss:2.3654, grad_norm:2.6608, lr:0.00000080, elapsed:2.7min
Epoch:[1/1] batch:3100/9819, optimizer_step:3100, loss:2.2922, grad_norm:2.6376, lr:0.00000080, elapsed:2.7min
Epoch:[1/1] batch:3150/9819, optimizer_step:3150, loss:2.6691, grad_norm:2.3505, lr:0.00000079, elapsed:2.8min
Epoch:[1/1] batch:3200/9819, optimizer_step:3200, loss:2.3827, grad_norm:2.4828, lr:0.00000078, elapsed:2.8min
Epoch:[1/1] batch:3250/9819, optimizer_step:3250, loss:2.6843, grad_norm:2.5725, lr:0.00000078, elapsed:2.9min
Epoch:[1/1] batch:3300/9819, optimizer_step:3300, loss:2.4857, grad_norm:2.9861, lr:0.00000077, elapsed:2.9min
Epoch:[1/1] batch:3350/9819, optimizer_step:3350, loss:2.2400, grad_norm:2.5495, lr:0.00000077, elapsed:2.9min
Epoch:[1/1] batch:3400/9819, optimizer_step:3400, loss:2.5605, grad_norm:2.5015, lr:0.00000076, elapsed:3.0min
Epoch:[1/1] batch:3450/9819, optimizer_step:3450, loss:2.6714, grad_norm:2.5651, lr:0.00000075, elapsed:3.0min
Epoch:[1/1] batch:3500/9819, optimizer_step:3500, loss:2.5160, grad_norm:2.6100, lr:0.00000075, elapsed:3.1min
权重已保存: /root/autodl-tmp/MokioMind/out/advertise_sft_ep1_512.pth
Epoch:[1/1] batch:3550/9819, optimizer_step:3550, loss:2.6332, grad_norm:2.7201, lr:0.00000074, elapsed:3.1min
Epoch:[1/1] batch:3600/9819, optimizer_step:3600, loss:2.5934, grad_norm:2.7654, lr:0.00000073, elapsed:3.2min
Epoch:[1/1] batch:3650/9819, optimizer_step:3650, loss:2.1215, grad_norm:2.4690, lr:0.00000073, elapsed:3.2min
Epoch:[1/1] batch:3700/9819, optimizer_step:3700, loss:2.4779, grad_norm:2.5471, lr:0.00000072, elapsed:3.3min
Epoch:[1/1] batch:3750/9819, optimizer_step:3750, loss:2.2652, grad_norm:2.4748, lr:0.00000071, elapsed:3.3min
Epoch:[1/1] batch:3800/9819, optimizer_step:3800, loss:2.4150, grad_norm:2.6042, lr:0.00000071, elapsed:3.3min
Epoch:[1/1] batch:3850/9819, optimizer_step:3850, loss:2.7971, grad_norm:2.9544, lr:0.00000070, elapsed:3.4min
Epoch:[1/1] batch:3900/9819, optimizer_step:3900, loss:2.4794, grad_norm:2.5560, lr:0.00000069, elapsed:3.4min
Epoch:[1/1] batch:3950/9819, optimizer_step:3950, loss:2.5162, grad_norm:2.6231, lr:0.00000069, elapsed:3.5min
Epoch:[1/1] batch:4000/9819, optimizer_step:4000, loss:2.3038, grad_norm:2.4881, lr:0.00000068, elapsed:3.5min
权重已保存: /root/autodl-tmp/MokioMind/out/advertise_sft_ep1_512.pth
Epoch:[1/1] batch:4050/9819, optimizer_step:4050, loss:2.3734, grad_norm:2.4228, lr:0.00000067, elapsed:3.6min
Epoch:[1/1] batch:4100/9819, optimizer_step:4100, loss:2.5056, grad_norm:2.5080, lr:0.00000067, elapsed:3.6min
Epoch:[1/1] batch:4150/9819, optimizer_step:4150, loss:2.2376, grad_norm:2.5373, lr:0.00000066, elapsed:3.7min
Epoch:[1/1] batch:4200/9819, optimizer_step:4200, loss:2.3424, grad_norm:2.5964, lr:0.00000065, elapsed:3.7min
Epoch:[1/1] batch:4250/9819, optimizer_step:4250, loss:2.4168, grad_norm:2.7568, lr:0.00000064, elapsed:3.8min
Epoch:[1/1] batch:4300/9819, optimizer_step:4300, loss:2.3196, grad_norm:2.6212, lr:0.00000064, elapsed:3.8min
Epoch:[1/1] batch:4350/9819, optimizer_step:4350, loss:2.3889, grad_norm:2.5975, lr:0.00000063, elapsed:3.8min
Epoch:[1/1] batch:4400/9819, optimizer_step:4400, loss:2.5000, grad_norm:2.5170, lr:0.00000062, elapsed:3.9min
Epoch:[1/1] batch:4450/9819, optimizer_step:4450, loss:2.4719, grad_norm:2.5123, lr:0.00000062, elapsed:3.9min
Epoch:[1/1] batch:4500/9819, optimizer_step:4500, loss:2.4627, grad_norm:2.6052, lr:0.00000061, elapsed:4.0min
权重已保存: /root/autodl-tmp/MokioMind/out/advertise_sft_ep1_512.pth
Epoch:[1/1] batch:4550/9819, optimizer_step:4550, loss:2.3907, grad_norm:2.3179, lr:0.00000060, elapsed:4.0min
Epoch:[1/1] batch:4600/9819, optimizer_step:4600, loss:2.3896, grad_norm:2.4496, lr:0.00000059, elapsed:4.1min
Epoch:[1/1] batch:4650/9819, optimizer_step:4650, loss:2.4398, grad_norm:2.5747, lr:0.00000059, elapsed:4.1min
Epoch:[1/1] batch:4700/9819, optimizer_step:4700, loss:2.2987, grad_norm:2.3015, lr:0.00000058, elapsed:4.2min
Epoch:[1/1] batch:4750/9819, optimizer_step:4750, loss:2.4488, grad_norm:3.0448, lr:0.00000057, elapsed:4.2min
Epoch:[1/1] batch:4800/9819, optimizer_step:4800, loss:2.5064, grad_norm:2.5352, lr:0.00000057, elapsed:4.3min
Epoch:[1/1] batch:4850/9819, optimizer_step:4850, loss:2.6729, grad_norm:2.6743, lr:0.00000056, elapsed:4.3min
